2020TST1001,2020TST1001@iitrpr.ac.in,2020TST1001@iitrpr.ac.in,CSE,2020,1001
2020TST1002,TST1002,2020TST1002@iitrpr.ac.in,CSE,2020,1002
2020TST1003,TST1003,2020TST1003@iitrpr.ac.in,CSE,2020,1003
2020TST1004,TST1004,2020TST1004@iitrpr.ac.in,CSE,2020,1004
2020TST1005,TST1005,2020TST1005@iitrpr.ac.in,CSE,2020,1005
2020TST1006,TST1006,2020TST1006@iitrpr.ac.in,CSE,2020,1006
2020TST1007,TST1007,2020TST1007@iitrpr.ac.in,CSE,2020,1007
2020TST1008,TST1008,2020TST1008@iitrpr.ac.in,EE,2020,1008
2020TST1009,TST1009,2020TST1009@iitrpr.ac.in,EE,2020,1009
2020TST1010,TST1010,2020TST1010@iitrpr.ac.in,EE,2020,1010
2020TST1011,TST1011,2020TST1011@iitrpr.ac.in,CH,2020,1011
2020TST1012,TST1012,2020TST1012@iitrpr.ac.in,CH,2020,1012
2020TST1013,TST1013,2020TST1013@iitrpr.ac.in,CH,2020,1013
2020TST1014,TST1014,2020TST1014@iitrpr.ac.in,CH,2020,1014
2020TST1015,TST1015,2020TST1015@iitrpr.ac.in,CH,2020,1015
2020TST1016,TST1016,2020TST1016@iitrpr.ac.in,CH,2020,1016
2020TST1017,TST1017,2020TST1017@iitrpr.ac.in,MNC,2020,1017
2020TST1018,TST1018,2020TST1018@iitrpr.ac.in,MNC,2020,1018
2020TST1019,TST1019,2020TST1019@iitrpr.ac.in,MNC,2020,1019
2020TST1020,TST1020,2020TST1020@iitrpr.ac.in,MNC,2020,1020
